full_name,email,phone,ward,stake,registration_id
Winnie Odhiambo,winnie.odhiambo@langata-lds.org,0734 303 303,Langata Ward,Nairobi Kenya West Stake,YsaRegistration2025_019
Victor Kariuki,victor.kariuki@langata-lds.org,0743 404 404,Langata Ward,Nairobi Kenya West Stake,YsaRegistration2025_020
Evelyn Nyaoke,evelyn.nyaoke@mountainview-lds.org,0722 505 505,Mountain View Ward,Nairobi Kenya West Stake,YsaRegistration2025_021
George Barasa,george.barasa@mountainview-lds.org,0733 606 606,Mountain View Ward,Nairobi Kenya West Stake,YsaRegistration2025_022
Dennis Mwangi,dennis.mwangi@rongai-lds.org,0706 707 707,Ongata Rongai Ward,Nairobi Kenya West Stake,YsaRegistration2025_023
Joan Wanja,joan.wanja@rongai-lds.org,0715 808 808,Ongata Rongai Ward,Nairobi Kenya West Stake,YsaRegistration2025_024
Carol Njoki,carol.njoki@riruta-lds.org,0723 909 909,Riruta Ward,Nairobi Kenya West Stake,YsaRegistration2025_025
Kevin Otieno,kevin.otieno@riruta-lds.org,0731 010 101,Riruta Ward,Nairobi Kenya West Stake,YsaRegistration2025_026
Stella Kiptoo,stella.kiptoo@ngong-lds.org,0744 121 212,Ngong Branch,Nairobi Kenya West Stake,YsaRegistration2025_027
Nicholas Wambugu,nicholas.wambugu@ngong-lds.org,0749 232 323,Ngong Branch,Nairobi Kenya West Stake,YsaRegistration2025_028
James Kamotho,james.kamotho@kikuyu-lds.org,0746 343 434,Kikuyu Branch,Nairobi Kenya West Stake,YsaRegistration2025_029
Irene Muthoni,irene.muthoni@kikuyu-lds.org,0747 454 545,Kikuyu Branch,Nairobi Kenya West Stake,YsaRegistration2025_030
Lillian Mumo,lillian.mumo@athiriver1-lds.org,0736 565 656,Athi River First Ward,Nairobi Kenya South Stake,YsaRegistration2025_031
Steve Karanja,steve.karanja@athiriver1-lds.org,0728 676 767,Athi River First Ward,Nairobi Kenya South Stake,YsaRegistration2025_032
Lydia Wambui,lydia.wambui@kitengela-lds.org,0702 787 878,Kitengela Ward,Nairobi Kenya South Stake,YsaRegistration2025_033
Timothy Were,timothy.were@kitengela-lds.org,0711 898 989,Kitengela Ward,Nairobi Kenya South Stake,YsaRegistration2025_034
Brenda Achieng,brenda.achieng@nairobi1-lds.org,0720 909 090,Nairobi First Ward,Nairobi Kenya South Stake,YsaRegistration2025_035
Peter Thuo,peter.thuo@nairobi1-lds.org,0730 010 101,Nairobi First Ward,Nairobi Kenya South Stake,YsaRegistration2025_036
Ruth Mwikali,ruth.mwikali@nairobi2-lds.org,0741 121 212,Nairobi Second Ward,Nairobi Kenya South Stake,YsaRegistration2025_037
David Onyango,david.onyango@nairobi2-lds.org,0703 232 323,Nairobi Second Ward,Nairobi Kenya South Stake,YsaRegistration2025_038
Nancy Kibwana,nancy.kibwana@southb-lds.org,0709 343 434,South B Ward,Nairobi Kenya South Stake,YsaRegistration2025_039
Mark Ndungu,mark.ndungu@southb-lds.org,0726 454 545,South B Ward,Nairobi Kenya South Stake,YsaRegistration2025_040
Sheila Mwende,sheila.mwende@athiriver2-lds.org,0719 565 656,Athi River Second Branch,Nairobi Kenya South Stake,YsaRegistration2025_041
Ken Macharia,ken.macharia@athiriver2-lds.org,0708 676 767,Athi River Second Branch,Nairobi Kenya South Stake,YsaRegistration2025_042
Esther Makena,esther.makena@mlolongo-lds.org,0742 787 878,Mlolongo Branch,Nairobi Kenya South Stake,YsaRegistration2025_043
Brian Otieno,brian.otieno@mlolongo-lds.org,0732 898 989,Mlolongo Branch,Nairobi Kenya South Stake,YsaRegistration2025_044
Carol Akinyi,carol.akinyi@ruai-lds.org,0727 909 090,Ruai Branch,Nairobi Kenya South Stake,YsaRegistration2025_045
Harrison Mugo,harrison.mugo@ruai-lds.org,0717 010 101,Ruai Branch,Nairobi Kenya South Stake,YsaRegistration2025_046
